ProductID,SKU,ProductName,Category,Subcategory,Brand,CostPrice,MSRP,LaunchDate,DiscontinuedDate
P-00061,AP-126,Urban Socks,Apparel,Hoodies,NordicStyle,316.65,437.9,2023-06-10,
P-00062,FO-978,Light belt,Footwear,Boots,,221.43,545.85,2023-06-11,
P-00063,FO-915,Trail runner,Footwear,Sandals,NordicFoot,65.3,211.16,2023-07-14,
P-00064,AC-257,LIGHT JACKET,Accessories,Socks,ScandiWear,102.2,310.1,2023-04-08,
P-00065,AP-706,City Hoodie ,Apparel,Jackets,ArcticGear,206.35,445.19,2023-02-28,
P-00066,AC-355,Classic hat,Accessories,Belts,ArcticGear,126.85,158.63,2023-02-08,
P-00067,FO-665,Trail tee,Footwear,Boots,ScandiWear,30.0,147.84,2023-04-11,
P-00068,FO-725,City jacket,Footwear,Boots,ArcticGear,289.31,650.86,2023-06-07,
P-00069,FO-884,Light Hat ,Footwear,Sandals,NordicFoot,226.4,239.24,2023-09-21,
P-00070,AC-858,City Tee,Accessories,Socks,NordicFoot,269.48,632.95,2023-02-17,
P-00071,FO-624,Trail Belt ,Footwear,Boots,ScandiWear,49.34,138.08,2023-10-13,
P-00072,FO-753,Pro hoodie,Footwear,Boots,,89.84,299.24,2023-05-22,2025-01-10
P-00073,AP-453,Urban Hoodie,Apparel,Jackets,NordicFoot,185.32,426.4,2022-12-01,
P-00074,AP-150,Urban runner,Apparel,Hoodies,,238.15,285.44,2023-08-08,
P-00075,AP-249,Warm Belt ,Apparel,Jackets,NordicStyle,474.61,548.68,2023-01-03,
P-00076,AP-781,CITY TEE,Apparel,T-Shirts,ArcticGear,174.4,334.02,2023-02-27,
P-00077,FO-712,Classic Jacket,Footwear,Sneakers,ScandiWear,168.09,448.76,2023-11-18,
P-00078,AC-104,WARM TEE,Accessories,Bags,ScandiWear,391.64,557.07,2022-12-17,
P-00079,AP-449,Classic hat,Apparel,Jackets,ScandiWear,353.14,484.99,2023-09-07,
P-00080,AC-755,Light runner,Accessories,Socks,,455.83,681.9,2023-07-05,
P-00081,AC-758,TRAIL HAT,Accessories,Socks,NordicFoot,221.67,424.72,2023-02-05,
P-00082,AP-157,Urban socks,Apparel,Pants,ArcticGear,147.2,399.49,2022-12-01,
P-00083,FO-733,PRO BAG,Footwear,Sneakers,,135.1,484.46,2022-10-28,
P-00084,AC-217,City Jacket,Accessories,Bags,ArcticGear,167.76,239.36,2023-01-04,
P-00085,FO-996,Light socks,Footwear,Sneakers,NordicStyle,323.99,625.96,2023-09-08,
P-00086,AP-175,LIGHT JACKET,Apparel,Pants,ScandiWear,453.44,727.34,2023-05-05,
P-00087,FO-796,TRAIL BELT,Footwear,Boots,ScandiWear,89.81,267.29,2022-11-25,
P-00088,FO-193,LIGHT JACKET,Footwear,Sneakers,,145.2,263.59,2022-10-17,
P-00089,AC-317,LIGHT SOCKS,Accessories,Belts,,268.82,511.78,2023-03-23,
P-00090,AC-388,WARM JACKET,Accessories,Bags,NordicFoot,296.9,518.89,2022-12-09,
P-00091,FO-621,Pro Tee,Footwear,Belts,NordicFoot,452.44,542.63,2023-05-08,
P-00092,AC-615,CLASSIC TEE,Accessories,Socks,ArcticGear,220.2,460.91,2023-07-22,
P-00093,FO-596,Pro Socks,Footwear,Sneakers,ArcticGear,282.45,450.23,2023-05-16,
P-00094,FO-763,Light Tee ,Footwear,Sandals,,257.85,519.0,2023-08-06,
P-00095,FO-790,Classic Hat ,Footwear,Sneakers,ArcticGear,302.4,669.47,2022-10-03,
P-00096,FO-516,WARM HAT,Footwear,Boots,NordicStyle,269.09,555.44,2022-11-04,
P-00097,AC-496,Warm Jacket ,Accessories,Bags,NordicStyle,94.06,315.02,2023-06-12,
P-00098,AP-598,Urban tee,Apparel,T-Shirts,,160.05,162.14,2023-05-11,
P-00099,FO-875,Pro bag,Footwear,Sneakers,NordicFoot,50.19,334.22,2022-11-29,
P-00100,FO-214,City jacket,Footwear,Sandals,NordicFoot,391.04,423.3,2023-10-23,
P-00101,AC-512,Warm Runner,Accessories,Hats,ScandiWear,151.55,258.89,2022-12-23,2023-09-23
P-00102,AC-775,Trail hoodie,Accessories,Hats,ArcticGear,210.09,299.38,2023-05-07,
P-00103,FO-838,Trail Hoodie,Footwear,Boots,ScandiWear,280.69,345.47,2023-03-11,
P-00104,AC-763,URBAN TEE,Accessories,Bags,NordicFoot,217.7,381.78,2022-12-05,
P-00105,FO-468,Pro runner,Footwear,Boots,ArcticGear,239.85,518.37,2023-05-26,
P-00106,AP-972,Pro Belt,Apparel,Pants,ScandiWear,345.88,598.82,2023-08-21,
P-00107,FO-979,Light Hat,Footwear,Boots,ScandiWear,289.61,410.11,2022-11-23,
P-00108,FO-276,Warm tee,Footwear,Boots,NordicFoot,50.05,98.92,2022-09-19,
P-00109,AC-817,Light Socks,Accessories,Socks,,174.76,442.84,2023-06-11,
P-00110,AP-984,Light Socks,Apparel,Pants,,197.98,590.95,2023-09-02,2024-08-10
P-00111,AP-990,City tee,Apparel,Jackets,NordicStyle,242.21,295.64,2023-11-10,
P-00112,FO-141,Warm runner,Footwear,Sandals,ScandiWear,182.32,362.24,2023-02-28,
P-00113,AC-687,Warm socks,Accessories,Socks,,419.5,618.05,2023-04-27,
P-00114,AP-352,WARM HOODIE,Apparel,Hoodies,ArcticGear,317.79,527.32,2023-10-06,
P-00115,FO-269,PRO TEE,Footwear,Sandals,,191.57,483.59,2023-02-15,
P-00116,AC-616,Warm runner,Accessories,Socks,ScandiWear,317.48,439.44,2023-03-13,
P-00117,FO-595,TRAIL SOCKS,Footwear,Sandals,NordicFoot,46.02,205.5,2023-01-14,
P-00118,AC-231,Classic belt,Accessories,Socks,ArcticGear,251.89,379.42,2023-06-28,
P-00119,FO-544,Urban Socks,Footwear,Sandals,,365.92,401.39,2023-06-02,
P-00120,FO-957,Classic Socks,Footwear,Boots,ArcticGear,382.61,427.07,2023-03-21,
P-00121,AC-752,TRAIL BAG,Accessories,Bags,ArcticGear,140.32,215.41,2023-02-20,
P-00122,AC-575,WARM HAT,Accessories,Hats,ArcticGear,378.81,458.6,2023-01-26,
P-00123,AC-100,Light Bag ,Accessories,Hoodies,ArcticGear,291.23,505.55,2023-10-28,
P-00124,AP-607,TRAIL RUNNER,Apparel,T-Shirts,NordicStyle,98.54,339.93,2023-03-10,
P-00125,FO-216,Pro belt,Footwear,Boots,,295.92,397.77,2023-10-27,
P-00126,FO-863,Urban Runner,Footwear,Sneakers,ArcticGear,227.66,495.68,2023-03-22,
P-00127,AC-540,City Runner ,Accessories,Socks,ScandiWear,230.74,287.98,2022-09-20,
P-00128,FO-242,WARM SOCKS,Footwear,Sneakers,NordicFoot,470.33,669.08,2022-09-14,
P-00129,AP-358,City bag,Apparel,Jackets,ArcticGear,456.85,514.77,2023-09-09,
P-00130,FO-472,Warm Socks,Footwear,Boots,,207.8,474.96,2023-02-03,
P-00131,FO-747,Pro tee,Footwear,Sandals,,127.63,205.7,2022-11-29,
P-00132,AC-968,CITY SOCKS,Accessories,Bags,NordicFoot,333.59,400.81,2023-04-08,
P-00133,AC-823,LIGHT JACKET,Accessories,Belts,NordicFoot,257.59,632.73,2023-10-22,
P-00134,AC-657,Pro Socks,Accessories,Bags,NordicFoot,53.4,284.96,2023-10-02,
P-00135,AP-549,Light Hat ,Apparel,Jackets,,405.32,462.96,2023-10-14,
P-00136,FO-473,WARM RUNNER,Footwear,Boots,ArcticGear,84.51,257.26,2023-06-16,
P-00137,FO-316,Warm hoodie,Footwear,Boots,NordicFoot,252.5,270.82,2022-11-02,
P-00138,AP-610,Warm Belt,Apparel,Pants,NordicStyle,207.4,505.94,2022-12-08,
P-00139,FO-575,Pro bag,Footwear,Boots,ScandiWear,208.05,351.39,2022-09-06,
P-00140,AP-776,Classic Belt ,Apparel,Pants,ArcticGear,220.58,376.22,2022-10-23,
P-00141,AC-177,Classic Runner,Accessories,Socks,ScandiWear,149.13,461.85,2022-11-24,
P-00142,FO-816,City runner,Footwear,Sneakers,,147.78,204.29,2023-02-20,
P-00143,FO-133,Urban Hat,Footwear,Sandals,,256.65,375.7,2023-06-15,
P-00144,FO-349,Classic Belt ,Footwear,Boots,NordicFoot,128.93,242.47,2023-02-01,
P-00145,FO-405,Pro Belt,Footwear,Sandals,NordicFoot,390.63,554.51,2023-09-14,
P-00146,AP-862,Classic Jacket,Apparel,Pants,ScandiWear,238.7,527.09,2023-09-24,2024-11-18
P-00147,AP-306,Classic Jacket ,Apparel,Hoodies,NordicFoot,107.76,225.47,2023-06-30,
P-00148,FO-534,Classic Bag ,Footwear,Sandals,,285.31,580.85,2022-11-14,
P-00149,FO-405,Light Tee ,Footwear,Sneakers,NordicFoot,245.68,492.0,2023-04-14,2024-08-19
P-00150,AC-534,Pro Tee ,Accessories,Belts,,30.0,353.32,2023-08-13,
P-00151,AP-580,Trail Belt,Apparel,Pants,NordicFoot,190.37,426.48,2023-02-13,
P-00152,AC-205,Trail Tee,Accessories,Hats,ArcticGear,166.46,476.59,2023-05-05,
P-00153,FO-645,Light Socks,Footwear,Boots,ScandiWear,32.63,175.96,2022-11-08,
P-00154,AC-846,Pro belt,Accessories,Belts,,52.45,347.16,2023-01-04,
P-00155,FO-860,Trail Hoodie,Footwear,Sandals,,30.0,289.75,2022-12-20,
P-00156,AC-473,Trail jacket,Accessories,Socks,ArcticGear,477.62,495.4,2023-12-03,
P-00157,FO-795,PRO HAT,Footwear,Sneakers,ScandiWear,120.11,337.43,2023-09-23,
P-00158,AP-192,Classic Hoodie,Apparel,Pants,NordicStyle,329.68,451.44,2023-02-02,
P-00159,AC-502,CITY TEE,Accessories,Belts,ArcticGear,228.37,420.73,2022-10-21,
P-00160,FO-928,WARM TEE,Footwear,Boots,ScandiWear,164.64,440.08,2023-02-17,
P-00161,AP-332,Urban Socks ,Apparel,Hoodies,ScandiWear,225.59,316.95,2023-01-11,
P-00162,AC-177,City jacket,Accessories,Hats,,306.46,422.0,2023-11-07,
P-00163,AC-348,City Bag,Accessories,Bags,ScandiWear,85.97,96.73,2023-06-09,
P-00164,FO-449,Warm runner,Footwear,Sneakers,NordicStyle,436.07,562.4,2022-10-26,
P-00165,AP-125,Trail hat,Apparel,Hoodies,ScandiWear,178.3,201.15,2023-08-03,
P-00166,FO-738,City Hoodie,Footwear,Sandals,,239.59,393.87,2023-06-30,
P-00167,AP-177,Trail hat,Apparel,Jackets,ArcticGear,216.13,372.92,2022-09-28,
P-00168,FO-798,Classic belt,Footwear,Sandals,,400.95,521.07,2022-09-14,
P-00169,FO-849,Classic jacket,Footwear,Boots,NordicStyle,313.65,345.1,2022-12-20,
P-00170,AP-114,WARM RUNNER,Apparel,Hoodies,NordicStyle,180.6,438.82,2023-09-06,
P-00171,AP-813,Urban runner,Apparel,Pants,NordicFoot,252.3,343.65,2022-09-28,
P-00172,AC-573,Classic Hat,Accessories,Hats,ArcticGear,350.86,527.66,2022-11-25,
P-00173,AP-311,City hat,Apparel,Pants,ArcticGear,48.34,223.14,2022-09-13,
P-00174,AP-208,WARM SOCKS,Apparel,Hoodies,NordicStyle,30.0,133.08,2023-04-21,
P-00175,AP-722,City hoodie,Apparel,Pants,ScandiWear,503.07,578.19,2022-10-04,
P-00176,AP-653,Classic Hoodie ,Apparel,Hoodies,ScandiWear,171.54,511.38,2022-11-22,
P-00177,FO-419,Warm Runner ,Footwear,Sandals,ScandiWear,123.68,139.62,2023-06-09,
P-00178,AP-840,Warm Hoodie ,Apparel,Hoodies,ArcticGear,30.0,292.95,2023-08-31,
P-00179,FO-615,TRAIL BELT,Footwear,Sandals,NordicStyle,152.12,153.18,2022-12-21,
P-00180,FO-745,Warm Bag,Footwear,Boots,NordicStyle,307.72,475.14,2023-08-01,
P-00181,FO-673,CLASSIC BELT,Footwear,Sneakers,NordicStyle,219.03,423.2,2023-11-09,
P-00182,AC-125,Trail tee,Accessories,Socks,,230.93,471.1,2023-09-27,
P-00183,AC-509,City Runner,Accessories,Socks,ScandiWear,322.63,381.22,2023-07-23,
P-00184,AC-631,Classic jacket,Accessories,Belts,,136.04,202.63,2023-04-13,
P-00185,AC-753,Pro bag,Accessories,Hats,ScandiWear,169.55,282.74,2022-11-29,
P-00186,AC-610,Classic Belt,Accessories,Hats,ArcticGear,290.25,339.63,2023-01-17,
P-00187,FO-789,CITY RUNNER,Footwear,Sandals,NordicFoot,526.22,569.54,2023-02-08,
P-00188,FO-271,Light Hat ,Footwear,Sandals,NordicStyle,447.37,530.76,2023-01-16,
P-00189,FO-420,Warm Belt ,Footwear,Sandals,,288.93,317.42,2022-11-23,
P-00190,AP-518,City Belt,Apparel,Pants,NordicFoot,212.12,239.26,2022-10-08,
P-00191,AP-335,Urban Jacket ,Apparel,Pants,ScandiWear,283.48,409.11,2023-07-15,
P-00192,AP-236,Light Belt ,Apparel,T-Shirts,NordicFoot,295.24,427.9,2023-12-03,
P-00193,AP-395,Light Socks,Apparel,Hoodies,NordicFoot,164.08,165.06,2022-09-01,
P-00194,FO-369,Warm Socks ,Footwear,Sandals,ScandiWear,283.72,493.4,2023-04-17,
P-00195,FO-104,Pro socks,Footwear,Sneakers,ArcticGear,276.77,483.83,2023-02-12,
P-00196,AC-231,Warm Jacket ,Accessories,Belts,NordicStyle,291.87,296.8,2022-11-01,
P-00197,AC-395,City Hoodie,Accessories,Hats,NordicFoot,310.23,365.1,2023-10-07,
P-00198,FO-790,Urban Hat,Footwear,Sandals,NordicFoot,414.96,517.16,2023-06-15,
P-00199,FO-242,Trail tee,Footwear,Sneakers,NordicFoot,297.87,712.88,2022-11-02,
P-00200,FO-920,URBAN TEE,Footwear,Boots,ScandiWear,30.0,299.63,2023-11-24,
P-00201,AP-297,Warm Socks ,Apparel,Jackets,ArcticGear,245.92,488.42,2023-11-09,
P-00202,FO-653,Classic Bag ,Footwear,Sneakers,,238.17,456.44,2023-11-30,
P-00203,AC-388,Classic Bag ,Accessories,Socks,NordicStyle,257.23,357.4,2023-02-04,
P-00204,AP-256,Classic hoodie,Apparel,Pants,NordicStyle,326.25,486.1,2023-10-25,
P-00205,AC-388,LIGHT RUNNER,Accessories,Belts,,169.47,217.49,2023-10-16,
P-00206,FO-616,URBAN HOODIE,Footwear,Boots,,227.87,320.55,2022-09-10,
P-00207,AC-258,Trail Socks,Accessories,Bags,ScandiWear,181.77,431.27,2023-06-21,
P-00208,FO-795,WARM HOODIE,Footwear,Boots,NordicStyle,134.26,247.84,2023-11-10,
P-00209,AC-146,URBAN TEE,Accessories,Hats,NordicFoot,569.19,741.06,2023-02-04,
P-00210,AC-194,Light Runner ,Accessories,Socks,ArcticGear,375.57,468.74,2023-10-16,
P-00211,AP-910,Warm Jacket,Apparel,T-Shirts,ScandiWear,366.35,756.27,2023-06-09,
P-00212,AC-941,Pro Tee ,Accessories,Socks,NordicStyle,350.02,543.0,2023-05-12,
P-00213,AC-914,Warm belt,Accessories,Bags,ArcticGear,90.44,158.81,2022-09-23,
P-00214,FO-240,TRAIL SOCKS,Footwear,Sneakers,,309.51,339.65,2023-04-06,
P-00215,FO-559,Trail hoodie,Footwear,Sandals,NordicFoot,315.46,353.08,2023-02-18,
P-00216,AC-477,CLASSIC BELT,Accessories,Bags,,352.55,583.24,2023-06-14,
P-00217,AC-281,Pro Socks,Accessories,Socks,ScandiWear,150.98,241.53,2023-10-25,
P-00218,AC-666,Light Tee,Accessories,Hats,ArcticGear,167.92,432.15,2023-11-12,
P-00219,FO-408,Light Runner,Footwear,Sandals,,279.15,292.2,2023-11-05,
P-00220,AC-765,Urban Hoodie ,Accessories,Bags,ScandiWear,337.81,417.87,2022-12-26,
P-00221,FO-701,Classic runner,Footwear,Sandals,ScandiWear,108.67,157.25,2022-09-25,
P-00222,FO-574,Urban belt,Footwear,Sandals,ScandiWear,194.71,420.09,2023-03-29,
P-00223,AP-975,Light runner,Apparel,T-Shirts,,183.06,533.34,2023-11-01,
P-00224,AP-279,Light Socks ,Apparel,Jackets,ScandiWear,199.0,386.56,2022-09-25,
P-00225,AC-384,Urban Hoodie ,Accessories,Socks,ArcticGear,308.49,439.62,2023-02-24,
P-00226,AP-981,CLASSIC BELT,Apparel,Pants,,423.39,708.58,2023-02-03,
P-00227,AC-460,Warm Runner ,Accessories,Hats,,108.11,320.11,2022-11-23,
P-00228,AP-800,Warm Runner ,Apparel,Hoodies,NordicStyle,190.42,207.64,2022-11-02,
P-00229,FO-240,Trail Runner,Footwear,Boots,ArcticGear,156.39,197.12,2023-04-12,
P-00230,AC-822,Warm Hat,Accessories,Socks,ScandiWear,70.1,149.45,2023-11-14,
P-00231,AC-528,Light Belt ,Accessories,Socks,,170.72,275.61,2023-07-02,
P-00232,AC-117,Trail Tee,Accessories,Belts,ScandiWear,339.47,442.12,2022-09-19,
P-00233,AP-601,Pro Bag,Apparel,Hoodies,,334.4,364.33,2023-03-13,
P-00234,FO-930,City Hoodie ,Footwear,Boots,,30.0,31.12,2023-02-13,
P-00235,AP-970,Warm Tee,Apparel,Jackets,,187.15,251.25,2022-10-25,
P-00236,FO-261,Trail tee,Footwear,Sandals,,128.85,389.45,2023-09-01,
P-00237,FO-277,Trail jacket,Footwear,Boots,NordicStyle,180.19,321.84,2023-06-15,
P-00238,AC-858,Trail socks,Accessories,Socks,,191.75,464.66,2023-07-10,
P-00239,AP-427,Light belt,Apparel,Jackets,ScandiWear,135.24,210.36,2023-05-13,
P-00240,AC-150,Urban Socks,Accessories,Hats,NordicFoot,230.86,365.22,2022-11-06,
P-00241,AP-902,Trail Hat ,Apparel,Jackets,NordicFoot,85.57,321.13,2023-10-23,
P-00242,FO-913,Pro Jacket ,Footwear,Sandals,,309.53,346.68,2022-12-29,
P-00243,FO-281,Trail Tee,Footwear,Boots,,180.29,469.41,2023-02-12,
P-00244,FO-429,City Belt,Footwear,Sneakers,ArcticGear,147.7,185.22,2023-11-06,2024-05-30
P-00245,AC-996,Pro Tee,Accessories,Socks,ScandiWear,36.32,398.08,2022-09-02,
P-00246,AC-806,Pro tee,Accessories,Socks,,162.5,438.38,2023-04-22,2024-11-27
P-00247,AP-904,Classic hat,Apparel,Jackets,ScandiWear,48.77,271.49,2023-05-19,
P-00248,AC-152,Urban hoodie,Accessories,Bags,ScandiWear,357.14,467.53,2023-04-14,
P-00249,AC-379,Urban Hat,Accessories,Belts,NordicFoot,243.21,381.6,2023-08-08,2025-02-21
P-00250,AC-826,City Socks ,Accessories,Socks,,238.31,271.19,2022-10-29,
P-00251,AP-308,URBAN HAT,Apparel,Jackets,,183.07,494.6,2022-12-24,
P-00252,AC-380,TRAIL TEE,Accessories,Hats,NordicStyle,253.86,309.08,2023-04-25,
P-00253,FO-593,Warm tee,Footwear,Sandals,,151.49,251.31,2023-04-23,
P-00254,AC-709,City Socks ,Accessories,Bags,,222.03,413.74,2022-12-18,
P-00255,FO-776,Urban Tee,Footwear,Sandals,ArcticGear,40.74,256.96,2022-09-17,
P-00256,FO-728,Light jacket,Footwear,Boots,,333.21,539.92,2022-11-26,
P-00257,FO-554,Light Tee ,Footwear,Sandals,,398.26,736.72,2023-07-06,
P-00258,FO-733,CITY HAT,Footwear,Boots,ArcticGear,350.48,531.34,2023-03-09,
P-00259,AC-462,Light bag,Accessories,Hats,NordicFoot,30.0,61.25,2023-07-07,
P-00260,FO-212,Pro Bag ,Footwear,Sneakers,ArcticGear,195.25,490.16,2023-02-11,
P-00261,FO-197,WARM BAG,Footwear,Sandals,,302.28,632.4,2023-07-07,
P-00262,FO-168,Warm Belt ,Footwear,Boots,ScandiWear,277.19,412.99,2023-10-11,
P-00263,AC-247,Light bag,Accessories,Socks,,30.0,165.13,2023-04-27,
P-00264,FO-606,Pro Runner,Footwear,Sandals,,251.19,367.52,2023-08-03,
P-00265,AP-549,Light Jacket,Apparel,Hoodies,ScandiWear,34.15,302.6,2023-02-01,
P-00266,AC-715,Classic runner,Accessories,Belts,ArcticGear,216.15,578.65,2023-11-01,
P-00267,FO-597,Pro Bag,Footwear,Boots,NordicStyle,48.63,150.58,2023-01-09,
P-00268,AC-965,Urban Hat ,Accessories,Bags,NordicStyle,289.56,556.27,2022-12-11,
P-00269,FO-116,Light Bag,Footwear,Sneakers,,186.14,257.07,2023-11-17,2025-04-04
P-00270,AC-111,Pro socks,Accessories,Hats,NordicFoot,211.81,436.29,2023-06-30,
P-00271,AC-760,WARM HOODIE,Accessories,Belts,ArcticGear,337.1,501.45,2023-05-22,
P-00272,AC-299,CLASSIC BELT,Accessories,Belts,NordicFoot,308.53,570.16,2023-03-17,
P-00273,AP-670,WARM HAT,Apparel,Pants,NordicStyle,212.28,261.6,2023-01-21,
P-00274,AP-434,Pro Jacket,Apparel,Pants,NordicFoot,310.03,476.09,2023-05-28,
P-00275,FO-939,PRO TEE,Footwear,Boots,NordicFoot,101.08,377.46,2023-02-23,
P-00276,AP-501,Pro runner,Apparel,Pants,ScandiWear,344.2,484.55,2023-10-28,
P-00277,AC-258,Pro Jacket ,Accessories,Hats,ArcticGear,461.02,651.83,2022-09-14,
P-00278,AP-197,Trail Socks ,Apparel,Jackets,,319.25,410.68,2023-06-28,
P-00279,AP-463,Classic Hoodie,Apparel,Jackets,,228.76,500.36,2023-03-02,
P-00280,AP-448,Urban belt,Apparel,Hoodies,NordicFoot,366.72,554.86,2022-09-04,
P-00281,AC-115,City Socks,Accessories,Bags,,355.32,605.65,2023-02-08,
P-00282,FO-410,CITY SOCKS,Footwear,Sneakers,ArcticGear,331.12,457.57,2023-11-24,
P-00283,FO-858,Urban Hoodie,Footwear,Sandals,NordicStyle,248.18,395.79,2023-05-09,
P-00284,AC-838,TRAIL TEE,Accessories,Bags,NordicFoot,171.86,179.5,2022-12-05,
P-00285,AC-539,Pro hat,Accessories,Socks,ArcticGear,217.33,300.7,2023-05-30,
